model,model_family,sampling,hidden_layers,epochs_run,selection_threshold,threshold_strategy,validation_accuracy,validation_auc_roc,validation_precision_positive,validation_recall_positive,validation_f1_positive,validation_specificity_negative,validation_true_negative,validation_false_positive,validation_false_negative,validation_true_positive,test_accuracy,test_auc_roc,test_precision_positive,test_recall_positive,test_f1_positive,test_specificity_negative,test_true_negative,test_false_positive,test_false_negative,test_true_positive,accuracy,auc_roc,precision_positive,recall_positive,f1_positive,specificity_negative,true_negative,false_positive,false_negative,true_positive
MLP 3 hidden layers (No SMOTE),mlp,No SMOTE,3.0,22.0,0.3079342842102051,max_f1,0.7621621621621621,0.8471074380165289,0.6086956521739131,0.875,0.717948717948718,0.7024793388429752,85,36,8,56,0.7272727272727273,0.8112962962962963,0.575,0.8518518518518519,0.6865671641791045,0.66,66,34,8,46,0.7272727272727273,0.8112962962962963,0.575,0.8518518518518519,0.6865671641791045,0.66,66,34,8,46
MLP 1 hidden layer (SMOTE),mlp,SMOTE,1.0,52.0,0.4546493887901306,max_f1,0.7567567567567568,0.84400826446281,0.6091954022988506,0.828125,0.7019867549668874,0.71900826446281,87,34,11,53,0.7727272727272727,0.8338888888888888,0.6301369863013698,0.8518518518518519,0.7244094488188977,0.73,73,27,8,46,0.7727272727272727,0.8338888888888888,0.6301369863013698,0.8518518518518519,0.7244094488188977,0.73,73,27,8,46
MLP 1 hidden layer (No SMOTE),mlp,No SMOTE,1.0,59.0,0.3218131363391876,max_f1,0.7675675675675676,0.8378099173553719,0.6235294117647059,0.828125,0.7114093959731543,0.7355371900826446,89,32,11,53,0.7467532467532467,0.8262962962962963,0.6119402985074627,0.7592592592592593,0.6776859504132231,0.74,74,26,13,41,0.7467532467532467,0.8262962962962963,0.6119402985074627,0.7592592592592593,0.6776859504132231,0.74,74,26,13,41
MLP 7 hidden layers (No SMOTE),mlp,No SMOTE,7.0,16.0,0.35165321826934814,max_f1,0.7837837837837838,0.8298037190082644,0.6666666666666666,0.75,0.7058823529411765,0.8016528925619835,97,24,16,48,0.7207792207792207,0.7857407407407407,0.5873015873015873,0.6851851851851852,0.6324786324786325,0.74,74,26,17,37,0.7207792207792207,0.7857407407407407,0.5873015873015873,0.6851851851851852,0.6324786324786325,0.74,74,26,17,37
Logistic Regression (SMOTE),baseline,SMOTE,,,0.5153304848997087,max_f1,0.772972972972973,0.828125,0.6486486486486487,0.75,0.6956521739130435,0.7851239669421488,95,26,16,48,0.7272727272727273,0.8229629629629629,0.6,0.6666666666666666,0.631578947368421,0.76,76,24,18,36,0.7272727272727273,0.8229629629629629,0.6,0.6666666666666666,0.631578947368421,0.76,76,24,18,36
MLP 7 hidden layers (SMOTE),mlp,SMOTE,7.0,12.0,0.5883380770683289,max_f1,0.7783783783783784,0.824767561983471,0.6666666666666666,0.71875,0.6917293233082706,0.8099173553719008,98,23,18,46,0.7142857142857143,0.8074074074074074,0.5892857142857143,0.6111111111111112,0.6,0.77,77,23,21,33,0.7142857142857143,0.8074074074074074,0.5892857142857143,0.6111111111111112,0.6,0.77,77,23,21,33
MLP 3 hidden layers (SMOTE),mlp,SMOTE,3.0,17.0,0.5080515742301941,max_f1,0.7891891891891892,0.8245092975206612,0.676056338028169,0.75,0.7111111111111111,0.8099173553719008,98,23,16,48,0.7012987012987013,0.7916666666666666,0.5645161290322581,0.6481481481481481,0.603448275862069,0.73,73,27,19,35,0.7012987012987013,0.7916666666666666,0.5645161290322581,0.6481481481481481,0.603448275862069,0.73,73,27,19,35
Logistic Regression (No SMOTE),baseline,No SMOTE,,,0.3281313875620426,max_f1,0.772972972972973,0.8230888429752066,0.6486486486486487,0.75,0.6956521739130435,0.7851239669421488,95,26,16,48,0.7662337662337663,0.8266666666666667,0.6363636363636364,0.7777777777777778,0.7,0.76,76,24,12,42,0.7662337662337663,0.8266666666666667,0.6363636363636364,0.7777777777777778,0.7,0.76,76,24,12,42
MLP 12 hidden layers (SMOTE),mlp,SMOTE,12.0,11.0,0.2346622794866562,max_f1,0.745945945945946,0.8141787190082644,0.5841584158415841,0.921875,0.7151515151515152,0.6528925619834711,79,42,5,59,0.6623376623376623,0.7614814814814814,0.5108695652173914,0.8703703703703703,0.6438356164383562,0.55,55,45,7,47,0.6623376623376623,0.7614814814814814,0.5108695652173914,0.8703703703703703,0.6438356164383562,0.55,55,45,7,47
MLP 12 hidden layers (No SMOTE),mlp,No SMOTE,12.0,15.0,0.3754075765609741,max_f1,0.7783783783783784,0.8141787190082644,0.676923076923077,0.6875,0.6821705426356589,0.8264462809917356,100,21,20,44,0.7012987012987013,0.7799999999999999,0.5645161290322581,0.6481481481481481,0.603448275862069,0.73,73,27,19,35,0.7012987012987013,0.7799999999999999,0.5645161290322581,0.6481481481481481,0.603448275862069,0.73,73,27,19,35
